source,month,year,url,filename
yellow,01,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-01.csv,yellow-2021-01.csv
green,01,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-01.csv,green-2021-01.csv
fhv,01,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-01.csv,fhv-2021-01.csv
fhvhv,01,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-01.csv,fhvhv-2021-01.csv
yellow,02,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-02.csv,yellow-2021-02.csv
green,02,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-02.csv,green-2021-02.csv
fhv,02,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-02.csv,fhv-2021-02.csv
fhvhv,02,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-02.csv,fhvhv-2021-02.csv
yellow,03,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-03.csv,yellow-2021-03.csv
green,03,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-03.csv,green-2021-03.csv
fhv,03,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-03.csv,fhv-2021-03.csv
fhvhv,03,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-03.csv,fhvhv-2021-03.csv
yellow,04,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-04.csv,yellow-2021-04.csv
green,04,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-04.csv,green-2021-04.csv
fhv,04,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-04.csv,fhv-2021-04.csv
fhvhv,04,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-04.csv,fhvhv-2021-04.csv
yellow,05,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-05.csv,yellow-2021-05.csv
green,05,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-05.csv,green-2021-05.csv
fhv,05,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-05.csv,fhv-2021-05.csv
fhvhv,05,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-05.csv,fhvhv-2021-05.csv
yellow,06,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-06.csv,yellow-2021-06.csv
green,06,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-06.csv,green-2021-06.csv
fhv,06,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-06.csv,fhv-2021-06.csv
fhvhv,06,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-06.csv,fhvhv-2021-06.csv
yellow,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2021-07.csv,yellow-2021-07.csv
green,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2021-07.csv,green-2021-07.csv
fhv,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2021-07.csv,fhv-2021-07.csv
fhvhv,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2021-07.csv,fhvhv-2021-07.csv
yellow,01,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-01.csv,yellow-2020-01.csv
green,01,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-01.csv,green-2020-01.csv
fhv,01,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-01.csv,fhv-2020-01.csv
fhvhv,01,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-01.csv,fhvhv-2020-01.csv
yellow,02,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-02.csv,yellow-2020-02.csv
green,02,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-02.csv,green-2020-02.csv
fhv,02,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-02.csv,fhv-2020-02.csv
fhvhv,02,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-02.csv,fhvhv-2020-02.csv
yellow,03,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-03.csv,yellow-2020-03.csv
green,03,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-03.csv,green-2020-03.csv
fhv,03,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-03.csv,fhv-2020-03.csv
fhvhv,03,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-03.csv,fhvhv-2020-03.csv
yellow,04,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-04.csv,yellow-2020-04.csv
green,04,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-04.csv,green-2020-04.csv
fhv,04,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-04.csv,fhv-2020-04.csv
fhvhv,04,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-04.csv,fhvhv-2020-04.csv
yellow,05,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-05.csv,yellow-2020-05.csv
green,05,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-05.csv,green-2020-05.csv
fhv,05,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-05.csv,fhv-2020-05.csv
fhvhv,05,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-05.csv,fhvhv-2020-05.csv
yellow,06,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-06.csv,yellow-2020-06.csv
green,06,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-06.csv,green-2020-06.csv
fhv,06,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-06.csv,fhv-2020-06.csv
fhvhv,06,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-06.csv,fhvhv-2020-06.csv
yellow,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-07.csv,yellow-2020-07.csv
green,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-07.csv,green-2020-07.csv
fhv,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-07.csv,fhv-2020-07.csv
fhvhv,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-07.csv,fhvhv-2020-07.csv
yellow,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-08.csv,yellow-2020-08.csv
green,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-08.csv,green-2020-08.csv
fhv,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-08.csv,fhv-2020-08.csv
fhvhv,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-08.csv,fhvhv-2020-08.csv
yellow,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-09.csv,yellow-2020-09.csv
green,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-09.csv,green-2020-09.csv
fhv,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-09.csv,fhv-2020-09.csv
fhvhv,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-09.csv,fhvhv-2020-09.csv
yellow,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-10.csv,yellow-2020-10.csv
green,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-10.csv,green-2020-10.csv
fhv,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-10.csv,fhv-2020-10.csv
fhvhv,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-10.csv,fhvhv-2020-10.csv
yellow,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-11.csv,yellow-2020-11.csv
green,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-11.csv,green-2020-11.csv
fhv,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-11.csv,fhv-2020-11.csv
fhvhv,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-11.csv,fhvhv-2020-11.csv
yellow,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-12.csv,yellow-2020-12.csv
green,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-12.csv,green-2020-12.csv
fhv,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2020-12.csv,fhv-2020-12.csv
fhvhv,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2020-12.csv,fhvhv-2020-12.csv
yellow,01,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-01.csv,yellow-2019-01.csv
green,01,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-01.csv,green-2019-01.csv
fhv,01,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-01.csv,fhv-2019-01.csv
yellow,02,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-02.csv,yellow-2019-02.csv
green,02,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-02.csv,green-2019-02.csv
fhv,02,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-02.csv,fhv-2019-02.csv
fhvhv,02,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-02.csv,fhvhv-2019-02.csv
yellow,03,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-03.csv,yellow-2019-03.csv
green,03,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-03.csv,green-2019-03.csv
fhv,03,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-03.csv,fhv-2019-03.csv
fhvhv,03,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-03.csv,fhvhv-2019-03.csv
yellow,04,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-04.csv,yellow-2019-04.csv
green,04,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-04.csv,green-2019-04.csv
fhv,04,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-04.csv,fhv-2019-04.csv
fhvhv,04,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-04.csv,fhvhv-2019-04.csv
yellow,05,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-05.csv,yellow-2019-05.csv
green,05,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-05.csv,green-2019-05.csv
fhv,05,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-05.csv,fhv-2019-05.csv
fhvhv,05,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-05.csv,fhvhv-2019-05.csv
yellow,06,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-06.csv,yellow-2019-06.csv
green,06,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-06.csv,green-2019-06.csv
fhv,06,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-06.csv,fhv-2019-06.csv
fhvhv,06,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-06.csv,fhvhv-2019-06.csv
yellow,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-07.csv,yellow-2019-07.csv
green,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-07.csv,green-2019-07.csv
fhv,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-07.csv,fhv-2019-07.csv
fhvhv,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-07.csv,fhvhv-2019-07.csv
yellow,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-08.csv,yellow-2019-08.csv
green,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-08.csv,green-2019-08.csv
fhv,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-08.csv,fhv-2019-08.csv
fhvhv,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-08.csv,fhvhv-2019-08.csv
yellow,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-09.csv,yellow-2019-09.csv
green,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-09.csv,green-2019-09.csv
fhv,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-09.csv,fhv-2019-09.csv
fhvhv,09,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-09.csv,fhvhv-2019-09.csv
yellow,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-10.csv,yellow-2019-10.csv
green,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-10.csv,green-2019-10.csv
fhv,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-10.csv,fhv-2019-10.csv
fhvhv,10,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-10.csv,fhvhv-2019-10.csv
yellow,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-11.csv,yellow-2019-11.csv
green,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2019-11.csv,green-2019-11.csv
fhv,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhv_tripdata_2019-11.csv,fhv-2019-11.csv
fhvhv,11,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/fhvhv_tripdata_2019-11.csv,fhvhv-2019-11.csv
