max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
293.5,Stapleton,Stapleton,2.5,Corona,Norwood,692416.1900000002,24060,15489,"[17.52057696030978, 17.790914950760968, 17.80917588113338, 17.632528174936922, 17.918569715142432, 17.024644897959185, 16.59153594006088]",green,01,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-01.csv,green-2021-01.csv
207.2,Corona,Broad Channel,3.3,Randalls Island,Randalls Island,626725.2400000001,21591,13119,"[17.99955420466059, 18.147730086669416, 18.56756392536282, 18.600297390636992, 18.059721775490512, 17.432579089506174, 17.256531018782017]",green,02,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-02.csv,green-2021-02.csv
483.06,DUMBO/Vinegar Hill,East Flatbush/Remsen Village,3.05,Astoria Park,Astoria Park,759199.9200000002,25413,16918,"[18.300199549887473, 18.190173640762882, 18.025528692879913, 17.909042763157895, 18.019105624591237, 17.513833049403747, 17.096432700247732]",green,03,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-03.csv,green-2021-03.csv
411.04,Central Park,Stapleton,2.8,West Brighton,East Elmhurst,834182.7200000002,26871,18037,"[18.90855790741697, 18.977560429005926, 18.606770802042657, 18.59434254406861, 18.472774145799928, 18.175158211065938, 18.148472222222225]",green,04,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-04.csv,green-2021-04.csv
2113.55,Bedford Park,Far Rockaway,2.5,Crown Heights North,Seaport,921321.9,30398,18978,"[18.573577958027553, 19.357118978878592, 18.822882536973836, 18.973990154915306, 19.005892857142857, 17.812401707190894, 18.120435143663844]",green,05,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-05.csv,green-2021-05.csv
729.3,Clinton West,Woodlawn/Wakefield,3.05,Jamaica,World Trade Center,981964.5600000002,31960,21305,"[18.191547687861274, 18.438986949789875, 18.83153700389515, 18.807005836082215, 18.78593977154725, 17.82974808165629, 17.766746375447184]",green,06,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2021-06.csv,green-2021-06.csv
480.31,South Williamsburg,South Williamsburg,3.05,Elmhurst/Maspeth,Jamaica,914306.0200000001,29497,20475,"[18.55225479321819, 18.28665591893137, 18.286880126636927, 18.584546687768484, 18.151224376114083, 17.694828212109428, 18.70534305317324]",green,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2021-07.csv,green-2021-07.csv
753.8,East Harlem South,East Harlem South,2.5,Astoria Park,Astoria Park,4888189.540000002,182896,144099,"[15.012785297845378, 15.00564956035926, 15.219695203165719, 14.98725536647558, 14.848940744625068, 14.72760189551333, 14.79047578118502]",green,01,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-01.csv,green-2020-01.csv
651.5,Borough Park,Fresh Meadows,2.5,World Trade Center,World Trade Center,4664739.240000002,175132,137868,"[14.934501945220505, 14.957346034559153, 14.875765308434943, 14.855916689620104, 14.83417815377941, 14.880479338548444, 15.038384645362433]",green,02,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-02.csv,green-2020-02.csv
462.27,Crown Heights South,Bedford Park,2.8,Corona,Corona,2598550.650000001,92256,81051,"[15.090781977285424, 15.03549361296473, 15.199599062323177, 15.125983303142478, 14.830621259842522, 14.713584396821576, 14.903402992560398]",green,03,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-03.csv,green-2020-03.csv
398.76,South Ozone Park,South Ozone Park,2.6,Hammels/Arverne,West Brighton,403360.40000000014,12132,11834,"[17.555776608910893, 17.176888178913742, 17.151580725061926, 16.448630168105407, 16.681715738758033, 15.79425979915776, 17.1308875128999]",green,04,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-04.csv,green-2020-04.csv
655.3,South Beach/Dongan Hills,Inwood Hill Park,3.3,Randalls Island,Randalls Island,505547.22000000003,15360,15170,"[16.768884221580468, 16.67087824831569, 17.37998639764226, 16.501339037927842, 16.410863006490093, 15.791894894253366, 16.50094837587007]",green,05,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-05.csv,green-2020-05.csv
498.8,Ridgewood,Midtown Center,3.3,Jamaica,Eltingville/Annadale/Prince's Bay,643744.7000000002,19997,17509,"[17.049401800701972, 17.638018691588787, 17.178114738265407, 17.05121564072784, 17.727725232999656, 16.420769557823128, 16.741189057421455]",green,06,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2020-06.csv,green-2020-06.csv
434.8,DUMBO/Vinegar Hill,Flushing,3.3,Central Harlem North,Kips Bay,739123.9700000002,23090,19150,"[17.56025273346478, 17.69295926990029, 17.903000539665413, 17.580480611687605, 17.52531435677767, 16.710655940594062, 17.12098903900077]",green,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-07.csv,green-2020-07.csv
550.8,Bensonhurst East,Upper East Side North,2.92,Corona,Corona,812838.8400000001,25176,20461,"[17.940388808616838, 17.785064935064934, 18.19721132897604, 18.23437962962963, 18.3468651026393, 16.904230136986303, 17.21794945433659]",green,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-08.csv,green-2020-08.csv
300.3,Flushing Meadows-Corona Park,Flushing Meadows-Corona Park,2.97,Astoria Park,Randalls Island,827790.9800000002,26792,20800,"[17.62363573646085, 17.868163700175486, 17.794531378299123, 17.342051693925235, 17.64653934714886, 16.21874941815361, 16.85502491874323]",green,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-09.csv,green-2020-09.csv
199.8,Manhattan Valley,Broad Channel,3.3,Randalls Island,Randalls Island,876006.1100000001,29608,21874,"[17.145452395964693, 17.46523866706695, 17.327055756698044, 17.29963863337714, 16.915501999351566, 16.388496482651725, 16.521954573869557]",green,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-10.csv,green-2020-10.csv
240.3,Jackson Heights,Jackson Heights,3.3,Randalls Island,Randalls Island,805448.6900000002,27792,19572,"[16.96115850760457, 17.452249817384956, 17.492816798361137, 17.250241960183768, 16.851590582830895, 16.577337045528992, 16.312606317275456]",green,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-11.csv,green-2020-11.csv
400.3,Mount Hope,Mount Hope,3.3,East Village,Crown Heights North,784225.8600000002,26181,18989,"[17.898793609390285, 17.410189389340783, 17.963516148689827, 17.045586294059824, 17.401644064958987, 16.76903554239171, 16.527162030258665]",green,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/green_tripdata_2020-12.csv,green-2020-12.csv
400.0,Bay Terrace/Fort Totten,Bay Terrace/Fort Totten,2.5,Central Harlem North,Central Harlem North,10059427.970000003,387054,236520,"[16.149710980290386, 16.712141215552727, 16.573805319159238, 16.449152860787006, 16.245506149685976, 15.113114184345815, 15.20872207799827]",green,01,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-01.csv,green-2019-01.csv
4012.3,Forest Park/Highland Park,Hollis,2.5,Long Island City/Queens Plaza,Long Island City/Queens Plaza,9572145.790000001,354053,214054,"[16.996358520468466, 17.26307808551106, 17.09224051788331, 17.438405278039586, 16.91045104711199, 15.903206135254479, 16.313121709863935]",green,02,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-02.csv,green-2019-02.csv
890.3,Long Island City/Queens Plaza,Long Island City/Queens Plaza,2.5,Astoria Park,Astoria Park,9925548.980000002,357666,234678,"[16.948119102232805, 17.20742926595999, 17.14749337238367, 17.213593631446265, 16.883574571713336, 16.00332655567411, 16.09161823131254]",green,03,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/green_tripdata_2019-03.csv,green-2019-03.csv
