max_fare,PU_zone_name_max,DO_zone_name_max,min_fare,PU_zone_name_min,DO_zone_name_min,sum_fares,num_ccs,num_cash,day_avgs,source,month,year,url,filename
7661.28,Lenox Hill West,Upper East Side South,2.5,Kensington,Kensington,20337832.220000014,923615,317996,"[16.515076701184835, 16.097442475670412, 15.938595736102565, 16.216951232774566, 16.276626899263174, 16.52203477220237, 17.38466939892699]",yellow,01,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-01.csv,yellow-2021-01.csv
6969.3,Midtown East,Two Bridges/Seward Park,2.5,Astoria Park,Astoria Park,20581962.71000001,939415,304856,"[16.378399147558518, 16.381276154527242, 16.69329051463025, 16.78408797513746, 16.557259908448927, 16.169345649953854, 16.80581771005767]",yellow,02,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-02.csv,yellow-2021-02.csv
6010.8,Upper West Side South,Central Harlem North,2.5,Laurelton,Laurelton,29301287.059999984,1331089,425475,"[16.636681144482775, 16.496921545365453, 16.479001891126103, 16.61165059373591, 16.832230299814274, 16.668528704279932, 17.378622982758063]",yellow,03,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-03.csv,yellow-2021-03.csv
2059.3,Yorkville West,Yorkville West,2.5,University Heights/Morris Heights,East Concourse/Concourse Village,34830185.399999976,1534333,463029,"[17.481425546301512, 17.35579707665767, 17.220050475716345, 17.40728427965522, 17.545899065919404, 17.17843388129514, 18.06705520966705]",yellow,04,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-04.csv,yellow-2021-04.csv
1165.3,Marine Park/Mill Basin,Brighton Beach,2.5,East Concourse/Concourse Village,East Concourse/Concourse Village,42215363.409999974,1809267,521178,"[18.283418543805897, 17.768654668323805, 17.917313092808257, 18.448864775228387, 18.401557815704855, 17.55853801706916, 18.52753470069163]",yellow,05,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-05.csv,yellow-2021-05.csv
627.8,Astoria Park,Randalls Island,2.76,Astoria Park,Randalls Island,49735193.54999998,2056827,598434,"[18.600503591747948, 18.48192869578381, 18.506268379804883, 18.998751794783598, 19.127604997348996, 18.25588431504656, 19.370850997396875]",yellow,06,2021,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2021-06.csv,yellow-2021-06.csv
1320.8,Laurelton,Borough Park,2.5,Midtown North,Midtown East,50237134.050000004,2004339,625368,"[19.48733459833478, 18.5348763304957, 18.7583666078683, 19.212973385027926, 19.289143153082364, 18.750039523216575, 19.943065401785717]",yellow,07,2021,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2021-07.csv,yellow-2021-07.csv
4268.3,Port Richmond,Marble Hill,2.5,DUMBO/Vinegar Hill,DUMBO/Vinegar Hill,113999229.07000002,4646991,1572686,"[18.671704722811516, 18.219101197981573, 18.43481164150688, 18.616353488294347, 18.495824618890925, 17.361376762665877, 18.3460053789231]",yellow,01,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-01.csv,yellow-2020-01.csv
967.05,Corona,TriBeCa/Civic Center,2.55,Flatbush/Ditmas Park,Rego Park,112482515.89999996,4660754,1475813,"[18.822595660270206, 18.42841393124605, 18.424842067761748, 18.735762639335363, 18.558010727386684, 17.293268180100107, 18.255073141654382]",yellow,02,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-02.csv,yellow-2020-02.csv
1000003.8,Randalls Island,Randalls Island,2.5,Union Sq,Mount Hope,53643074.44000002,2189996,722545,"[18.33328755014618, 20.179884073635034, 18.11762895876821, 18.367419843079762, 18.046492379250605, 17.054893484972087, 18.32308999526586]",yellow,03,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-03.csv,yellow-2020-03.csv
703.7,Kensington,Midtown East,2.5,Kensington,East Harlem South,3256366.8800000004,129624,81796,"[15.402599034478039, 15.325240308510999, 15.346661378233835, 15.339452699036153, 15.338642062097248, 15.38708986913944, 15.939934953782954]",yellow,04,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-04.csv,yellow-2020-04.csv
1042.82,Arden Heights,East Williamsburg,2.8,Rockaway Park,Rockaway Park,4468745.6400000015,172280,107590,"[15.743452870685033, 15.927494377427932, 15.929499169695074, 15.955497817652766, 15.910646437032993, 15.794207083180078, 16.628130143297433]",yellow,05,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-05.csv,yellow-2020-05.csv
944.05,Port Richmond,Queensboro Hill,2.5,Clinton Hill,Jamaica Bay,8210063.340000002,318533,166144,"[16.80793181164837, 16.717171197486202, 16.51818022772667, 16.731479602741487, 17.17860395470407, 17.065732708778395, 18.123107934205294]",yellow,06,2020,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2020-06.csv,yellow-2020-06.csv
1010.8,Union Sq,Gravesend,2.5,East Harlem South,Flatlands,12083478.74,484482,232464,"[16.747859320830376, 16.555689457710592, 16.711644698012986, 16.76934777595096, 16.931373359966187, 16.705740288158236, 18.091842749753397]",yellow,07,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-07.csv,yellow-2020-07.csv
550.8,Port Richmond,Randalls Island,2.5,Laurelton,Flatiron,15382044.470000004,630167,282791,"[16.72753614012873, 16.473408170032435, 16.72186609349335, 16.762845612430098, 16.921355038623087, 16.75295192802649, 17.802749811200766]",yellow,08,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-08.csv,yellow-2020-08.csv
1500.3,Eltingville/Annadale/Prince's Bay,Eltingville/Annadale/Prince's Bay,2.8,Lincoln Square East,Lincoln Square East,20298823.44000001,884898,338550,"[16.63047117168596, 16.450271770246562, 16.44984770309531, 16.582171856587962, 16.801263774786587, 16.39299228869845, 17.028270843331445]",yellow,09,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-09.csv,yellow-2020-09.csv
1359.79,Bay Terrace/Fort Totten,Bay Terrace/Fort Totten,2.5,East New York/Pennsylvania Avenue,East New York/Pennsylvania Avenue,25511922.140000008,1155542,387591,"[16.304789769774754, 16.34300074355224, 16.424843863937593, 16.809679145889454, 16.61798732804795, 16.306310672439622, 16.938138499937786]",yellow,10,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-10.csv,yellow-2020-10.csv
995.9,East Williamsburg,Arden Heights,2.5,Astoria Park,Astoria Park,22597536.57,1034056,345506,"[16.3562051736919, 16.222632914696757, 16.101388420488817, 16.41272736966698, 16.416113556469526, 16.39755959944249, 16.83745851205963]",yellow,11,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-11.csv,yellow-2020-11.csv
8361.36,Westchester Village/Unionport,Co-Op City,2.6,Kensington,Kensington,21735913.94,979857,351714,"[16.349306012921456, 16.385503550483502, 16.260412220945504, 16.12128877330195, 16.499697866671127, 15.987000998535486, 16.786879642058164]",yellow,12,2020,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2020-12.csv,yellow-2020-12.csv
3345.3,Parkchester,Parkchester,2.5,East Williamsburg,East Williamsburg,114351960.80000003,5359238,2079216,"[15.421418518531212, 15.678263750448309, 15.64112066822372, 15.710636186436478, 15.578936481300746, 14.285298372402625, 14.986880161790653]",yellow,01,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-01.csv,yellow-2019-01.csv
1199.16,Kensington,Kensington,2.78,Kensington,Central Harlem,126214693.07999988,5121935,1755516,"[18.76120755065423, 18.493834057390817, 18.654723471409532, 19.196942962821716, 18.062086932220925, 17.15515973806632, 18.13814538891023]",yellow,02,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-02.csv,yellow-2019-02.csv
990.39,Clinton Hill,Clinton Hill,2.5,Randalls Island,Randalls Island,145173370.57999986,5664386,2029059,"[19.155758796186134, 18.93159941068525, 19.157756756001454, 19.38599664504029, 19.018448679983763, 17.94322618904649, 18.696314258627478]",yellow,03,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-03.csv,yellow-2019-03.csv
395841.24,Long Island City/Queens Plaza,Long Island City/Queens Plaza,2.5,Randalls Island,Randalls Island,138800681.42000005,5285538,1993550,"[19.55723796505134, 19.123484698746324, 19.264752322532075, 19.59461069730221, 18.99279471492173, 17.950021492434658, 18.807947193326257]",yellow,04,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-04.csv,yellow-2019-04.csv
4020.3,Hunts Point,Lincoln Square West,2.5,NV,NV,143483740.9000001,5389310,2020078,"[19.77923548344272, 19.3006245478361, 19.718597908031175, 19.91298526954781, 19.62209231045399, 18.0391241938662, 18.733755241772226]",yellow,05,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-05.csv,yellow-2019-05.csv
347035.05,Times Sq/Theatre District,Charleston/Tottenville,2.5,Kensington,Kensington,132883083.38999994,4922095,1870619,"[20.259517916386738, 19.396931302556393, 19.73884988700208, 19.987687152250885, 19.808377701934024, 18.285815381169844, 19.697531910145145]",yellow,06,2019,https://s3.amazonaws.com/nyc-tlc/trip+data/yellow_tripdata_2019-06.csv,yellow-2019-06.csv
905.49,Elmhurst,Rossville/Woodrow,2.5,Stuy Town/Peter Cooper Village,Laurelton,118501387.19999997,4370796,1772050,"[19.532873017527606, 19.171134841480992, 19.279529687631772, 19.618589305040672, 19.578074338407763, 18.37429832715641, 19.42109829069445]",yellow,07,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-07.csv,yellow-2019-07.csv
2008.3,Clinton Hill,Midwood,2.5,Kingsbridge Heights,Kingsbridge Heights,113803298.78000017,4162413,1741407,"[19.59628479074563, 18.99083988121565, 19.08849784970986, 19.678836764234983, 19.576075788835137, 18.510621852765034, 19.43606990605143]",yellow,08,2019,https://nyc-tlc.s3.amazonaws.com/trip+data/yellow_tripdata_2019-08.csv,yellow-2019-08.csv
